id	latin_name	initials	cultivar	icon_url
147	Mahonia nervosa	Mn	.	../Drawing/Icons/Plants/Plants/Mahonia_nervosa(Mn).svg
148	Mahonia x media	Mxm	.	../Drawing/Icons/Plants/Plants/Mahonia_x_media(Mxm).svg
149	Malus domestica	Md	.	../Drawing/Icons/Plants/Plants/Malus_domestica(Md).svg
150	Malus fusca	Mf	.	../Drawing/Icons/Plants/Plants/Malus_fusca(Mf).svg
151	Malva sylvestris	Ms	.	../Drawing/Icons/Plants/Plants/Malva_sylvestris(Ms).svg
152	Matricaria recutita	Mr	.	../Drawing/Icons/Plants/Plants/Matricaria_recutita(Mr).svg
153	Medicago sativa	Ms	.	../Drawing/Icons/Plants/Plants/Medicago_sativa(Ms).svg
154	Melissa officinalis	Mo	.	../Drawing/Icons/Plants/Plants/Melissa_officinalis(Mo).svg
155	Mentha spicata	Ms	.	../Drawing/Icons/Plants/Plants/Mentha_spicata(Ms).svg
156	Mentha x piperita vulgaris	Mxp	.	../Drawing/Icons/Plants/Plants/Mentha_x_piperita_vulgaris(Mxp).svg
157	Mespilus germanica	Mg	.	../Drawing/Icons/Plants/Plants/Mespilus_germanica(Mg).svg
158	Micromeria juliana	Mj	.	../Drawing/Icons/Plants/Plants/Micromeria_juliana(Mj).svg
159	Monarda didyma	Md	.	../Drawing/Icons/Plants/Plants/Monarda_didyma(Md).svg
160	Morus alba	Ma	.	../Drawing/Icons/Plants/Plants/Morus_alba(Ma).svg
161	Morus nigra	Mn	.	../Drawing/Icons/Plants/Plants/Morus_nigra(Mn).svg
162	Myrica californica	Mca	.	../Drawing/Icons/Plants/Plants/Myrica_californica(Mca).svg
163	Myrtus communis	Mco	.	../Drawing/Icons/Plants/Plants/Myrtus_communis(Mco).svg
164	Najas flexilis	Nj	.	../Drawing/Icons/Plants/Plants/Najas_flexilis(Nj).svg
165	Nasturtium microphyllum	Nm	.	../Drawing/Icons/Plants/Plants/Nasturtium_microphyllum(Nm).svg
166	Nasturtium officinale	No	.	../Drawing/Icons/Plants/Plants/Nasturtium_officinale(No).svg
167	Nuphar lutea	Nl	.	../Drawing/Icons/Plants/Plants/Nuphar_lutea(Nl).svg
168	Nuphar polysepala	Np	.	../Drawing/Icons/Plants/Plants/Nuphar_polysepala(Np).svg
169	Ocimum basilicum	Ob	.	../Drawing/Icons/Plants/Plants/Ocimum_basilicum(Ob).svg
170	Origanum majorana	Om	.	../Drawing/Icons/Plants/Plants/Origanum_majorana(Om).svg
171	Origanum vulgare	Ov	.	../Drawing/Icons/Plants/Plants/Origanum_vulgare(Ov).svg
172	Oxalis tuberosa	Ot	.	../Drawing/Icons/Plants/Plants/Oxalis_tuberosa(Ot).svg
173	Oxydendrum arboreum	Oa	.	../Drawing/Icons/Plants/Plants/Oxydendrum_arboreum(Oa).svg
174	Pachysandra terminalis	Pt	.	../Drawing/Icons/Plants/Plants/Pachysandra_terminalis(Pt).svg
175	Papaver nudicaule	Pn	.	../Drawing/Icons/Plants/Plants/Papaver_nudicaule(Pn).svg
176	Passiflora incarnata	Pi	.	../Drawing/Icons/Plants/Plants/Passiflora_incarnata(Pi).svg
177	Petroselinum crispum	Pc	.	../Drawing/Icons/Plants/Plants/Petroselinum_crispum(Pc).svg
178	Phaseolus coccineus	Pc	.	../Drawing/Icons/Plants/Plants/Phaseolus_coccineus(Pc).svg
179	Phormium tenax	Pt	.	../Drawing/Icons/Plants/Plants/Phormium_tenax(Pt).svg
180	Phyllostachys aurea	Pg	.	../Drawing/Icons/Plants/Plants/Phyllostachys_aurea(Pg).svg
181	Phyllostachys aureosulcata	Pa	.	../Drawing/Icons/Plants/Plants/Phyllostachys_aureosulcata(Pa).svg
182	Phyllostachys nigra	Pn	.	../Drawing/Icons/Plants/Plants/Phyllostachys_nigra(Pn).svg
183	Pinus cembra	Pce	.	../Drawing/Icons/Plants/Plants/Pinus_cembra(Pce).svg
184	Pinus contorta	Pco	.	../Drawing/Icons/Plants/Plants/Pinus_contorta(Pco).svg
185	Pinus koraiensis	Pk	.	../Drawing/Icons/Plants/Plants/Pinus_koraiensis(Pk).svg
186	Pleurotus ostreatus	Po	.	../Drawing/Icons/Plants/Plants/Pleurotus_ostreatus(Po).svg
187	Polygonatum biflorum	Pb	.	../Drawing/Icons/Plants/Plants/Polygonatum_biflorum(Pb).svg
188	Polygonatum commutatum	Pc	.	../Drawing/Icons/Plants/Plants/Polygonatum_commutatum(Pc).svg
189	Prunus americana	Pam	.	../Drawing/Icons/Plants/Plants/Prunus_americana(Pam).svg
190	Prunus armeniaca	Par	.	../Drawing/Icons/Plants/Plants/Prunus_armeniaca(Par).svg
191	Prunus avium	Pav	.	../Drawing/Icons/Plants/Plants/Prunus_avium(Pav).svg
192	Prunus avivum	Paw	.	../Drawing/Icons/Plants/Plants/Prunus_avivum(Paw).svg
193	Prunus cerasifera	Pcr	.	../Drawing/Icons/Plants/Plants/Prunus_cerasifera(Pcr).svg
194	Prunus domestica	Pdo	.	../Drawing/Icons/Plants/Plants/Prunus_domestica(Pdo).svg
195	Prunus dulcis	Pdu	.	../Drawing/Icons/Plants/Plants/Prunus_dulcis(Pdu).svg
196	Prunus laurocerasus	Plo	.	../Drawing/Icons/Plants/Plants/Prunus_laurocerasus(Plo).svg
197	Prunus lusitanica	Plu	.	../Drawing/Icons/Plants/Plants/Prunus_lusitanica(Plu).svg
198	Prunus persica espalier	Ppe	.	../Drawing/Icons/Plants/Plants/Prunus_persica_espalier(Ppe).svg
199	Prunus persica nucipersica espalier	Pne	.	../Drawing/Icons/Plants/Plants/Prunus_persica_nucipersica_espalier(Pne).svg
200	Prunus persica nucipersica	Ppn	.	../Drawing/Icons/Plants/Plants/Prunus_persica_nucipersica(Ppn).svg
201	Prunus persica	Ppe	.	../Drawing/Icons/Plants/Plants/Prunus_persica(Ppe).svg
202	Pseudotsuga menziesii	Pm	.	../Drawing/Icons/Plants/Plants/Pseudotsuga_menziesii(Pm).svg
203	Pyrus communis sativa	Pcs	.	../Drawing/Icons/Plants/Plants/Pyrus_communis_sativa(Pcs).svg
204	Pyrus pyrifoila culta	Ppc	.	../Drawing/Icons/Plants/Plants/Pyrus_pyrifoila_culta(Ppc).svg
205	Pyrus pyrifoila	Pp	.	../Drawing/Icons/Plants/Plants/Pyrus_pyrifoila(Pp).svg
206	Quercus macrocarpa	Qm	.	../Drawing/Icons/Plants/Plants/Quercus_macrocarpa(Qm).svg
207	Quercus robur	Qr	.	../Drawing/Icons/Plants/Plants/Quercus_robur(Qr).svg
208	Raphanus sativus	Rs	.	../Drawing/Icons/Plants/Plants/Raphanus_sativus(Rs).svg
209	Rheum palmatum	Rp	.	../Drawing/Icons/Plants/Plants/Rheum_palmatum(Rp).svg
210	Rheum rhaponticum	Rr	.	../Drawing/Icons/Plants/Plants/Rheum_rhaponticum(Rr).svg
211	Rhus aromatica	Ra	.	../Drawing/Icons/Plants/Plants/Rhus_aromatica(Ra).svg
212	Rhus typhina	Rt	.	../Drawing/Icons/Plants/Plants/Rhus_typhina(Rt).svg
213	Ribes nigrum	Rn	.	../Drawing/Icons/Plants/Plants/Ribes_nigrum(Rn).svg
214	Ribes odoratum	Ro	.	../Drawing/Icons/Plants/Plants/Ribes_odoratum(Ro).svg
215	Ribes rubrum	Rr	.	../Drawing/Icons/Plants/Plants/Ribes_rubrum(Rr).svg
216	Ribes uva-crispa	Ru	.	../Drawing/Icons/Plants/Plants/Ribes_uva-crispa(Ru).svg
217	Ribes x culverwellii	Rxc	.	../Drawing/Icons/Plants/Plants/Ribes_x_culverwellii(Rxc).svg
218	Rosa nutkana	Rno	.	../Drawing/Icons/Plants/Plants/Rosa_nutkana(Rno).svg
219	Rosa rugosa	Rr	.	../Drawing/Icons/Plants/Plants/Rosa_rugosa(Rr).svg
220	Rosmarinus officinalis	Rof	.	../Drawing/Icons/Plants/Plants/Rosmarinus_officinalis(Rof).svg
221	Rubus arcticus	Rar	.	../Drawing/Icons/Plants/Plants/Rubus_arcticus(Rar).svg
222	Rubus frutucosus	Rf	.	../Drawing/Icons/Plants/Plants/Rubus_frutucosus(Rf).svg
223	Rubus idaeus	Ri	.	../Drawing/Icons/Plants/Plants/Rubus_idaeus(Ri).svg
224	Rubus leucodermis	Rl	.	../Drawing/Icons/Plants/Plants/Rubus_leucodermis(Rl).svg
225	Rubus occidentalis	Ro	.	../Drawing/Icons/Plants/Plants/Rubus_occidentalis(Ro).svg
226	Rubus procerus	Rp	.	../Drawing/Icons/Plants/Plants/Rubus_procerus(Rp).svg
227	Rubus ursinus	Ru	.	../Drawing/Icons/Plants/Plants/Rubus_ursinus(Ru).svg
228	Rumex acetosa	Rac	.	../Drawing/Icons/Plants/Plants/Rumex_acetosa(Rac).svg
229	Ruta graveolens	Rg	.	../Drawing/Icons/Plants/Plants/Ruta_graveolens(Rg).svg
230	Sagittaria latifolia	Sl	.	../Drawing/Icons/Plants/Plants/Sagittaria_latifolia(Sl).svg
231	Salix purpurea	Sp	.	../Drawing/Icons/Plants/Plants/Salix_purpurea(Sp).svg
232	Salvia officinalis	So	.	../Drawing/Icons/Plants/Plants/Salvia_officinalis(So).svg
233	Sambucus caerulaea	Sc	.	../Drawing/Icons/Plants/Plants/Sambucus_caerulaea(Sc).svg
234	Sambucus canadensis	Sc	.	../Drawing/Icons/Plants/Plants/Sambucus_canadensis(Sc).svg
235	Sambucus nigra	Sn	.	../Drawing/Icons/Plants/Plants/Sambucus_nigra(Sn).svg
236	Sasa veitchii	Sv	.	../Drawing/Icons/Plants/Plants/Sasa_veitchii(Sv).svg
237	Schisandra chinensis	Sc	.	../Drawing/Icons/Plants/Plants/Schisandra_chinensis(Sc).svg
238	Semiarundinaria fastuosa	Sf	.	../Drawing/Icons/Plants/Plants/Semiarundinaria_fastuosa(Sf).svg
239	Sempervivum tectorum	Ste	.	../Drawing/Icons/Plants/Plants/Sempervivum_tectorum(Ste).svg
240	Smilacena racemosa	Sr	.	../Drawing/Icons/Plants/Plants/Smilacena_racemosa(Sr).svg
241	Solanum tuberosum	Stu	.	../Drawing/Icons/Plants/Plants/Solanum_tuberosum(Stu).svg
242	Spinacia oleracea	So	.	../Drawing/Icons/Plants/Plants/Spinacia_oleracea(So).svg
243	Stachys affinis	Sa	.	../Drawing/Icons/Plants/Plants/Stachys_affinis(Sa).svg
244	Stellaria media	Sm	.	../Drawing/Icons/Plants/Plants/Stellaria_media(Sm).svg
245	Stropharia rugosoannulata	Sr	.	../Drawing/Icons/Plants/Plants/Stropharia_rugosoannulata(Sr).svg
246	Symphoricarpos albus laevigatus	Sal	.	../Drawing/Icons/Plants/Plants/Symphoricarpos_albus_laevigatus(Sal).svg
247	Symphytum officinale	So	.	../Drawing/Icons/Plants/Plants/Symphytum_officinale(So).svg
248	Symphytum uplandicum	Su	.	../Drawing/Icons/Plants/Plants/Symphytum_uplandicum(Su).svg
249	Taraxacum officinale	To	.	../Drawing/Icons/Plants/Plants/Taraxacum_officinale(To).svg
250	Taxus baccata	Tb	.	../Drawing/Icons/Plants/Plants/Taxus_baccata(Tb).svg
251	Taxus x media	Txh	'Hicksii'	../Drawing/Icons/Plants/Plants/Taxus_x_media'Hicksii'(Txh).svg
252	Taxus x media	Txe	'HM_Eddie'	../Drawing/Icons/Plants/Plants/Taxus_x_media'HM_Eddie'(Txe).svg
253	Thuja plicata	Tp	.	../Drawing/Icons/Plants/Plants/Thuja_plicata(Tp).svg
254	Thymus psedolanuginosus	Tp	.	../Drawing/Icons/Plants/Plants/Thymus_psedolanuginosus(Tp).svg
255	Thymus pseudolanuginosus	Tp	.	../Drawing/Icons/Plants/Plants/Thymus_pseudolanuginosus(Tp).svg
256	Thymus vulgaris	Tv	.	../Drawing/Icons/Plants/Plants/Thymus_vulgaris(Tv).svg
257	Trifolium incarnatum	Ti	.	../Drawing/Icons/Plants/Plants/Trifolium_incarnatum(Ti).svg
258	Trifolium repens	Tr	.	../Drawing/Icons/Plants/Plants/Trifolium_repens(Tr).svg
259	Trillium erectum	Te	.	../Drawing/Icons/Plants/Plants/Trillium_erectum(Te).svg
260	Tropaeolum majus	Tm	.	../Drawing/Icons/Plants/Plants/Tropaeolum_majus(Tm).svg
261	Typha angustifolia	Ta	.	../Drawing/Icons/Plants/Plants/Typha_angustifolia(Ta).svg
262	Ugni molinae	Um	.	../Drawing/Icons/Plants/Plants/Ugni_molinae(Um).svg
263	Urtica dioca	Ud	.	../Drawing/Icons/Plants/Plants/Urtica_dioca(Ud).svg
264	Vaccinium corymbosum	Vcb	'Blue_Crop'	../Drawing/Icons/Plants/Plants/Vaccinium_corymbosum'Blue_Crop'(Vcb).svg
265	Vaccinium corymbosum	Vcd	'Draper'	../Drawing/Icons/Plants/Plants/Vaccinium_corymbosum'Draper'(Vcd).svg
266	Vaccinium corymbosum	Vcd	'Duke'	../Drawing/Icons/Plants/Plants/Vaccinium_corymbosum'Duke'(Vcd).svg
267	Vaccinium corymbosum	Vcl	'Liberty'	../Drawing/Icons/Plants/Plants/Vaccinium_corymbosum'Liberty'(Vcl).svg
268	Vaccinium corymbosum	Vcr	'Reka'	../Drawing/Icons/Plants/Plants/Vaccinium_corymbosum'Reka'(Vcr).svg
269	Vaccinium corymbosum	Vcs	.	../Drawing/Icons/Plants/Plants/Vaccinium_corymbosum(Vcs).svg
270	Vaccinium macrocarpon	Vm	.	../Drawing/Icons/Plants/Plants/Vaccinium_macrocarpon(Vm).svg
271	Vaccinium ovatum	Vov	.	../Drawing/Icons/Plants/Plants/Vaccinium_ovatum(Vov).svg
272	Vaccinium oxycoccos	Vox	.	../Drawing/Icons/Plants/Plants/Vaccinium_oxycoccos(Vox).svg
273	Vaccinium parvifolium	Vp	.	../Drawing/Icons/Plants/Plants/Vaccinium_parvifolium(Vp).svg
274	Vaccinium vitis-idaea	Vvi	.	../Drawing/Icons/Plants/Plants/Vaccinium_vitis-idaea(Vvi).svg
275	Valeriana capitata	Vc	.	../Drawing/Icons/Plants/Plants/Valeriana_capitata(Vc).svg
276	Valeriana officinalis	Vo	.	../Drawing/Icons/Plants/Plants/Valeriana_officinalis(Vo).svg
277	Viburnum edule	Ve	.	../Drawing/Icons/Plants/Plants/Viburnum_edule(Ve).svg
278	Viburnum x bodnantense	Vxb	.	../Drawing/Icons/Plants/Plants/Viburnum_x_bodnantense(Vxb).svg
279	Vicia faba major	Vfm	.	../Drawing/Icons/Plants/Plants/Vicia_faba_major(Vfm).svg
280	Viola cornuta	Vco	.	../Drawing/Icons/Plants/Plants/Viola_cornuta(Vco).svg
281	Vitis vinifera	Vv	.	../Drawing/Icons/Plants/Plants/Vitis_vinifera(Vv).svg
282	Wisteria floribunda	Wf	.	../Drawing/Icons/Plants/Plants/Wisteria_floribunda(Wf).svg
283	Wisteria sinensis	Ws	.	../Drawing/Icons/Plants/Plants/Wisteria_sinensis(Ws).svg
284	Yucca filamentosa	Yf	.	../Drawing/Icons/Plants/Plants/Yucca_filamentosa(Yf).svg
285	Zantedeschia aethiopica	Za	.	../Drawing/Icons/Plants/Plants/Zantedeschia_aethiopica(Za).svg
286	Zanthoxylum piperitum	Zp	.	../Drawing/Icons/Plants/Plants/Zanthoxylum_piperitum(Zp).svg
287	Zanthoxylum simulans	Zs	.	../Drawing/Icons/Plants/Plants/Zanthoxylum_simulans(Zs).svg
288	Zea mays	Zm	.	../Drawing/Icons/Plants/Plants/Zea_mays(Zm).svg
289	Zizania aquatica	Za	.	../Drawing/Icons/Plants/Plants/Zizania_aquatica(Za).svg
290	Ziziphus jujuba	Zj	.	../Drawing/Icons/Plants/Plants/Ziziphus_jujuba(Zj).svg
