ID	latin_name	pest
725	Picea omorika	Seldom Severely Damaged by deer
726	Picea pungens	Seldom Severely Damaged by deer
727	Pieris floribunda	Rarely Damaged by deer
728	Pieris japonica	Rarely Damaged by deer
729	Pimpinalla anisum	Rarely Damaged by deer
730	Pinus densiflora	Seldom Severely Damaged by deer
731	Pinus mugo	Seldom Severely Damaged by deer
732	Pinus nigra	Seldom Severely Damaged by deer
733	Pinus resinosa	Rarely Damaged by deer
734	Pinus rigida	Rarely Damaged by deer
735	Pinus strobus	Seldom Severely Damaged by deer
736	Pinus sylvestris	Seldom Severely Damaged by deer
737	Pinus thunbergiana	Rarely Damaged by deer
738	Platycodon grandiflorus 	Occasionally Severely Damaged by deer
739	Podophyllum	Rarely Damaged by deer
740	Podophyllum aurantiocaule	Rarely Damaged by deer
741	Podophyllum hexandrum	Rarely Damaged by deer
742	Podophyllum peltatum	Rarely Damaged by deer
743	Podophyllum pleianthum	Rarely Damaged by deer
744	Podophyllum versipelle	Rarely Damaged by deer
745	Polemonium caeruleum	Seldom Severely Damaged by deer
746	Polygonatum biflorum	Occasionally Severely Damaged by deer
747	Polygonatum cirrhifolium	Seldom Severely Damaged by deer
748	Polygonatum commutatum	Seldom Severely Damaged by deer
749	Polygonatum cyrtonema	Seldom Severely Damaged by deer
750	Polygonatum falcatum	Seldom Severely Damaged by deer
751	Polygonatum humile	Seldom Severely Damaged by deer
752	Polygonatum inflatum	Seldom Severely Damaged by deer
753	Polygonatum involucratum	Seldom Severely Damaged by deer
754	Polygonatum kingianum	Seldom Severely Damaged by deer
755	Polygonatum lasianthum	Seldom Severely Damaged by deer
756	Polygonatum macropodum	Seldom Severely Damaged by deer
757	Polygonatum maximowiczii	Seldom Severely Damaged by deer
758	Polygonatum multiflorum	Seldom Severely Damaged by deer
759	Polygonatum odoratum	Seldom Severely Damaged by deer
760	Polygonatum odoratum thunbergii	Seldom Severely Damaged by deer
761	Polygonatum pubescens	Seldom Severely Damaged by deer
762	Polygonatum sibiricum	Seldom Severely Damaged by deer
763	Polygonatum stenanthum	Seldom Severely Damaged by deer
764	Polygonatum verticillatum	0
765	Polystichum arcostichoides	Rarely Damaged by deer
766	Potentilla chinensis	Rarely Damaged by deer
767	Potentilla fruticosa	Rarely Damaged by deer
768	Potentilla sp.	Rarely Damaged by deer
769	Primula sp.	Seldom Severely Damaged by deer
770	Primula veris	Seldom Severely Damaged by deer
771	Primula vulgaris	Seldom Severely Damaged by deer
772	Prunus americana var. nigra	edible fruit
773	Prunus avium	Occasionally Severely Damaged by deer
774	Prunus laurocerasus	Seldom Severely Damaged by deer
775	Prunus persica	leaf curl resistant
776	Prunus serrulata	Seldom Severely Damaged by deer
777	Prunus sp.	Frequently Severely Damaged by deer
778	Prunus x cistena 	Occasionally Severely Damaged by deer
779	Pseudotsuga menziesii	Seldom Severely Damaged by deer
780	Pulmonaria officinalis	Rarely Damaged by deer
781	Pulmonaria sp.	Rarely Damaged by deer
782	Punica granatum	Seldom Severely Damaged by deer
783	Pyracantha coccinea	Seldom Severely Damaged by deer
784	Pyrus calleryana	Occasionally Severely Damaged by deer
785	Pyrus communis	Occasionally Severely Damaged by deer
786	Quercus alba	Occasionally Severely Damaged by deer
787	Quercus prinus	Occasionally Severely Damaged by deer
788	Quercus rubra	Occasionally Severely Damaged by deer
789	Ranunculus acris	Rarely Damaged by deer
790	Ranunculus acris	Rarely Damaged by deer
791	Ranunculus arvensis	Rarely Damaged by deer
792	Ranunculus bulbosus	Rarely Damaged by deer
793	Ranunculus californicus	Rarely Damaged by deer
794	Ranunculus chinensis	Rarely Damaged by deer
795	Ranunculus ficaria	Rarely Damaged by deer
796	Ranunculus flammula	Rarely Damaged by deer
797	Ranunculus hirtus	Rarely Damaged by deer
798	Ranunculus inamoeus	Rarely Damaged by deer
799	Ranunculus japonicus	Rarely Damaged by deer
800	Ranunculus kochii	Rarely Damaged by deerRoatate, Separate overwintered and spring crops to avoid botrytis and downy mildew.
801	Ranunculus muricatus	Rarely Damaged by deer
802	Ranunculus nipponicus	Rarely Damaged by deer
803	Ranunculus occidentalis	Rarely Damaged by deer
804	Ranunculus pallasii	Rarely Damaged by deer
805	Ranunculus pennsylvanicus	Rarely Damaged by deer
806	Ranunculus quelpaertensis	Rarely Damaged by deer
807	Ranunculus repens	Rarely Damaged by deer
808	Ranunculus reptans	Rarely Damaged by deer
809	Ranunculus rivularis	Rarely Damaged by deer
810	Ranunculus sceleratus	Rarely Damaged by deer
811	Ranunculus tachreoi	Rarely Damaged by deer
812	Ranunculus ternatus	Rarely Damaged by deer
813	Raphanus sativus	Use a 5 year rotation to avoid Club Root and Root Maggots
814	Rhammus sp.	Seldom Severely Damaged by deer
815	Rheum rhaponticum	Seldom Severely Damaged by deer
816	Rhododendron carolinianum	Occasionally Severely Damaged by deer
817	Rhododendron catawbiense	Occasionally Severely Damaged by deer
818	Rhododendron maximum	Occasionally Severely Damaged by deer
819	Rhododendron penclymenoides	Frequently Severely Damaged by deer
820	Rhododendron sp.	Frequently Severely Damaged by deer
821	Rhododendron sp.	Occasionally Severely Damaged by deer
822	Rhus aromatica	Rarely Damaged by deer
823	Rhus typhina	Occasionally Severely Damaged by deer
824	Ribes aciculare	Seldom Severely Damaged by deer
825	Ribes alpinum	Seldom Severely Damaged by deer
826	Ribes altissimum	Seldom Severely Damaged by deer
827	Ribes aureum	Seldom Severely Damaged by deer
828	Ribes burejense	Seldom Severely Damaged by deer
829	Ribes curvatum	Seldom Severely Damaged by deer
830	Ribes cynosbati	Seldom Severely Damaged by deer
831	Ribes divaricatum	Seldom Severely Damaged by deer
832	Ribes fragrans	Seldom Severely Damaged by deer
833	Ribes gayanum	Seldom Severely Damaged by deer
834	Ribes himalense	Seldom Severely Damaged by deer
835	Ribes horridum	Seldom Severely Damaged by deer
836	Ribes janczewskii	Seldom Severely Damaged by deer
837	Ribes lacustre	Seldom Severely Damaged by deer
838	Ribes longiracemosum	Seldom Severely Damaged by deer
839	Ribes maximowiczii	Seldom Severely Damaged by deer
840	Ribes maximowiczii floribundum	Seldom Severely Damaged by deer
841	Ribes meyeri	Seldom Severely Damaged by deer
842	Ribes missouriense	Seldom Severely Damaged by deer
843	Ribes montigenum	Seldom Severely Damaged by deer
844	Ribes nigrum	Seldom Severely Damaged by deer
845	Ribes odoratum	Seldom Severely Damaged by deer
846	Ribes oxyacanthoides	Seldom Severely Damaged by deer
847	Ribes palczewskii	Seldom Severely Damaged by deer
848	Ribes petiolare	Seldom Severely Damaged by deer
849	Ribes petraeum	Seldom Severely Damaged by deer
850	Ribes pinetorum	Seldom Severely Damaged by deer
851	Ribes procumbens	Seldom Severely Damaged by deer
852	Ribes punctatum	Seldom Severely Damaged by deer
853	Ribes rotundifolium	Seldom Severely Damaged by deer
854	Ribes rubrum	Seldom Severely Damaged by deer
855	Ribes sachalinense	Seldom Severely Damaged by deer
856	Ribes sativum	Seldom Severely Damaged by deer
857	Ribes sp.	Seldom Severely Damaged by deer
858	Ribes triste	Seldom Severely Damaged by deer
859	Ribes warszewiczii	Seldom Severely Damaged by deer
860	Ribes x culverwellii	Seldom Severely Damaged by deer
861	Robinia pseudoacia	Occasionally Severely Damaged by deer
862	Rodgersia sp.	Rarely Damaged by deer
863	Rosa multiflora	Occasionally Severely Damaged by deer
864	Rosa rugosa	Occasionally Severely Damaged by deer
865	Rosa x hybrid	Occasionally Severely Damaged by deer
866	Rosmarinus officinalis	Rarely Damaged by deer
867	Rubus arcticus	Seldom Severely Damaged by deer
868	Rubus biflorus	Seldom Severely Damaged by deer
869	Rubus canadensis	Seldom Severely Damaged by deer
870	Rubus chamaemorus	Seldom Severely Damaged by deer
871	Rubus corchorifolius	Seldom Severely Damaged by deer
872	Rubus crataegifolius	Seldom Severely Damaged by deer
873	Rubus cuneifolius	Seldom Severely Damaged by deer
874	Rubus flagellaris	Seldom Severely Damaged by deer
875	Rubus fruticosus	Seldom Severely Damaged by deer
876	Rubus geophilus	Seldom Severely Damaged by deer
877	Rubus glaucus	Seldom Severely Damaged by deer
878	Rubus gunnianus	Seldom Severely Damaged by deer
879	Rubus henryi	Seldom Severely Damaged by deer
880	Rubus ichangensis	Seldom Severely Damaged by deer
881	Rubus idaeus	Seldom Severely Damaged by deer
882	Rubus illecebrosus	Seldom Severely Damaged by deer
883	Rubus innominatus	Seldom Severely Damaged by deer
884	Rubus kuntzeanus	Seldom Severely Damaged by deer
885	Rubus laciniatus	Seldom Severely Damaged by deer
886	Rubus leucostachys	Seldom Severely Damaged by deer
887	Rubus loganobaccus	Seldom Severely Damaged by deer
888	Rubus mesogaeus	Seldom Severely Damaged by deer
889	Rubus michiganensis	Seldom Severely Damaged by deer
890	Rubus microphyllus	Seldom Severely Damaged by deer
891	Rubus moorei	Seldom Severely Damaged by deer
892	Rubus nepalensis	Seldom Severely Damaged by deer
893	Rubus nessensis	Seldom Severely Damaged by deer
894	Rubus nitidioides	Seldom Severely Damaged by deer
895	Rubus niveus	Seldom Severely Damaged by deer
896	Rubus nubigenus	Seldom Severely Damaged by deer
897	Rubus odoratus	Seldom Severely Damaged by deer
898	Rubus parviflorus	Seldom Severely Damaged by deer
899	Rubus parvifolius	Seldom Severely Damaged by deer
900	Rubus parvus	Seldom Severely Damaged by deer
901	Rubus pascuus	Seldom Severely Damaged by deer
902	Rubus pectinellus	Seldom Severely Damaged by deer
903	Rubus pedatus	Seldom Severely Damaged by deer
904	Rubus phoenicolasius	Seldom Severely Damaged by deer
905	Rubus procerus	Seldom Severely Damaged by deer
906	Rubus roseus	Seldom Severely Damaged by deer
907	Rubus setchuenensis	Seldom Severely Damaged by deer
908	Rubus sp.	Seldom Severely Damaged by deer
909	Rubus spectabilis	Seldom Severely Damaged by deer
910	Rubus strigosus	Seldom Severely Damaged by deer
911	Rubus tricolor	Seldom Severely Damaged by deer
912	Rubus unknown	Scab :cut out deseased parts and paint with 1:1 clay/cow poo mix
913	Rubus ursinus	Seldom Severely Damaged by deer
914	Rubus villosus	Seldom Severely Damaged by deer
915	Rudbeckia sp.	Seldom Severely Damaged by deer
916	Ruta chalepensis	Rarely Damaged by deer
917	Ruta graveolens	Rarely Damaged by deer
918	Ruta montana	Rarely Damaged by deer
919	Ruta sp.	Rarely Damaged by deer
920	Salix matsudana tortuosa	Seldom Severely Damaged by deer
921	Salix sp.	Occasionally Severely Damaged by deer
922	Salvia	Seldom Severely Damaged by deer
923	Salvia nemorosa 	Seldom Severely Damaged by deer
924	Salvia officinalis	Rarely Damaged by deer
925	Sambucus canadensis	Seldom Severely Damaged by deer
926	Sambucus racemosa	Rarely Damaged by deer
927	Santolina chamaecyparissus	Rarely Damaged by deer
928	Saponaria sp.	Seldom Severely Damaged by deer
929	Sarcoccoca hookeriana 	Rarely Damaged by deer
930	Sassafras albidurn	Seldom Severely Damaged by deer
931	Satureja montana	Seldom Severely Damaged by deer
932	Scabiosa caucasica	Seldom Severely Damaged by deer
933	Schizachyrium scoparium	Rarely Damaged by deer
934	Scilla siberica	Rarely Damaged by deer
935	Scirpus lacustris	Seldom Severely Damaged by deer
936	Sedum spectabile	Occasionally Severely Damaged by deer
937	Sempervivum sp.	Seldom Severely Damaged by deer
938	Sidalcia malviflora 	Occasionally Severely Damaged by deer
939	Skimmia japonica	Rarely Damaged by deer
940	Solanum tuberosum	Avoid blight by; watering away from foliage, abstain from hoeing when moon in perigee or leaf days “Thun” . Avoid wire worm especially where sod once was by trapping with potato pieces after they've been in soil 4 days.
941	Solidago sp. 	Seldom Severely Damaged by deer
942	Sorbus aucuparia	Frequently Severely Damaged by deer
943	Sorghastrum nutans	Rarely Damaged by deer
944	Spiraea japonica	Seldom Severely Damaged by deer
945	Spiraea prunifolia	Seldom Severely Damaged by deer
946	Spiraea x bumalda	Seldom Severely Damaged by deer
947	Stachys byzantina	Rarely Damaged by deer
948	Stokesia laevis	Seldom Severely Damaged by deer
949	Symphoricarpos albus	Seldom Severely Damaged by deer
950	Symphoricarpos x chenaultii	Seldom Severely Damaged by deer
951	Symphytum officinale	Occasionally Severely Damaged by deer
952	Symplocarpos foetidus	Seldom Severely Damaged by deer
953	Syringa reticulata	Seldom Severely Damaged by deer
954	Syringa villosa	Occasionally Severely Damaged by deer
955	Syringa vulgaris	Seldom Severely Damaged by deer
956	Syringa x chinesis	Occasionally Severely Damaged by deer
957	Syringa x persica	Occasionally Severely Damaged by deer
958	Tagetes patula	Seldom Severely Damaged by deer
959	Tanacetum parthenium	Seldom Severely Damaged by deer
960	Tanacetum vulgare	Rarely Damaged by deer
961	Taxodium distichum	Occasionally Severely Damaged by deer
962	Taxus baccata	Frequently Severely Damaged by deer
963	Taxus brevifolia	Frequently Severely Damaged by deer
964	Taxus canadensis	Frequently Severely Damaged by deer
965	Taxus cuspidata	Frequently Severely Damaged by deer
966	Taxus x media	Frequently Severely Damaged by deer
967	Teucrium chamaedrys	Rarely Damaged by deer
968	Thalictrum sp.	Rarely Damaged by deer
969	Thelyptens noveboracensis	Rarely Damaged by deer
970	Thuja occidentalis	Frequently Severely Damaged by deer
971	Thuja plicata	Occasionally Severely Damaged by deer
972	Thymbra spicata	Rarely Damaged by deer
973	Thymus caespititius	Rarely Damaged by deer
974	Thymus camphoratus	Rarely Damaged by deer
975	Thymus cilicicus	Rarely Damaged by deer
976	Thymus herba-barona	Rarely Damaged by deer
977	Thymus hirtus	Rarely Damaged by deer
978	Thymus mastichina	Rarely Damaged by deer
979	Thymus pannonicus	Rarely Damaged by deer
980	Thymus praecox	Rarely Damaged by deer
981	Thymus praecox arcticus	Rarely Damaged by deer
982	Thymus pseudolanuginosus	Rarely Damaged by deer
983	Thymus pulegioides	Rarely Damaged by deer
984	Thymus quinquecostatus	Rarely Damaged by deer
985	Thymus serpyllum	Rarely Damaged by deer
986	Thymus sp.	Rarely Damaged by deer
987	Thymus vulgaris	Rarely Damaged by deer
988	Thymus x citriodorus	Rarely Damaged by deer
989	Thymus zygis	Rarely Damaged by deer
990	Tiarella cordifolia	Seldom Severely Damaged by deer
991	Tilia americana	Occasionally Severely Damaged by deer
992	Tilia cordata 'Greenspire'	Occasionally Severely Damaged by deer
993	Tradescantia sp.	Seldom Severely Damaged by deer
994	Tricyrtis hirta	Seldom Severely Damaged by deer
995	Trillium sp.	Seldom Severely Damaged by deer
996	Triticum aestivum	Black fungus happens if left out for to long in the rain and spacing is to dense.
997	Triticum aestivum	Lodging happens when growth is to fast from excess nitrogen. At the end of the season, after mature grains were rained on for two weeks they developed a black fungus in Victoria, B.C.
998	Trollius europaeus	Occasionally Severely Damaged by deer
999	Tropaeolum brachyceras	Seldom Severely Damaged by deer
1000	Tropaeolum leptophyllum	Seldom Severely Damaged by deer
1001	Tropaeolum majus	Seldom Severely Damaged by deer
1002	Tropaeolum majus	Seldom Severely Damaged by deer
1003	Tropaeolum majus	Seldom Severely Damaged by deer
1004	Tropaeolum minus	Seldom Severely Damaged by deer
1005	Tropaeolum patagonicum	Seldom Severely Damaged by deer
1006	Tropaeolum sessilifolium	Seldom Severely Damaged by deer
1007	Tropaeolum tricolorum	Seldom Severely Damaged by deer
1008	Tropaeolum tuberosum	Seldom Severely Damaged by deer
1009	Tsuga canadensis	Occasionally Severely Damaged by deer
1010	Tsuga caroliniana	Occasionally Severely Damaged by deer
1011	Tulbaghia violacea	Seldom Severely Damaged by deer
1012	Tulip sp.	Frequently Severely Damaged by deer
1013	Ugni molinae	Rarely Damaged by deer
1014	Vaccinium corymbosum	Occasionally Severely Damaged by deer
1015	Vaccinium corymbosum	wire worms
1016	Vaccinium ovatum	Rarely Damaged by deer
1017	Vaccinium vitis-idaea	Seldom Severely Damaged by deer
1018	Verbascum blattaria	Rarely Damaged by deer
1019	Verbascum lychnitis	Rarely Damaged by deer
1020	Verbascum phlomoides	Rarely Damaged by deer
1021	Verbascum sp.	Seldom Severely Damaged by deer
1022	Verbascum thapsus	Rarely Damaged by deer
1023	Verbena x hybrida	Seldom Severely Damaged by deer
1024	Veronica sp.	Seldom Severely Damaged by deer
1025	Veronicastrum virginicum	Seldom Severely Damaged by deer
1026	Viburnum dentatum	Rarely Damaged by deer
1027	Viburnum opulus	Seldom Severely Damaged by deer
1028	Viburnum plicatum	Seldom Severely Damaged by deer
1029	Viburnum prunifolium	Seldom Severely Damaged by deer
1030	Viburnum rhytidophyllum	Seldom Severely Damaged by deer
1031	Viburnum x juddii	Seldom Severely Damaged by deer
1032	Vicia faba equina	Damping off fungus, Pythium spp. Plant in warm. Thin plant for air circulation and avoid touching when wet. Flowers but no pods -zinc deficient-.
1033	Vicia faba major	Damping off fungus, Pythium spp. Plant in warm. Thin plant for air circulation and avoid touching when wet. Flowers but no pods -zinc deficient-.
1034	Vicia faba major	Seldom Severely Damaged by deer
1035	Vicia tetrasperma	Damping off fungus, Pythium spp. Plant in warm. Thin plant for air circulation and avoid touching when wet. Flowers but no pods -zinc deficient-.
1036	Vigna radiata	Damping off fungus, Pythium spp. Plant in warm. Thin plant for air circulation and avoid touching when wet. Flowers but no pods -zinc deficient-.
1037	Vinca major	Seldom Severely Damaged by deer
1038	Vinca minor	Seldom Severely Damaged by deer
1039	Viola adunca	Seldom Severely Damaged by deer
1040	Viola biflora	Seldom Severely Damaged by deer
1041	Viola canadensis	Seldom Severely Damaged by deer
1042	Viola canina	Seldom Severely Damaged by deer
1043	Viola cornuta	Seldom Severely Damaged by deer
1044	Viola cucullata	Seldom Severely Damaged by deer
1045	Viola epipsela	Seldom Severely Damaged by deer
1046	Viola japonica	Seldom Severely Damaged by deer
1047	Viola labradorica	Seldom Severely Damaged by deer
1048	Viola langsdorffii	Seldom Severely Damaged by deer
1049	Viola mandschurica	Seldom Severely Damaged by deer
1050	Viola mirabilis	Seldom Severely Damaged by deer
1051	Viola odorata	Seldom Severely Damaged by deer
1052	Viola palmata	Seldom Severely Damaged by deer
1053	Viola patrinii	Seldom Severely Damaged by deer
1054	Viola pinnata	Seldom Severely Damaged by deer
1055	Viola riviniana	Seldom Severely Damaged by deer
1056	Viola sororia	Seldom Severely Damaged by deer
1057	Viola sp.	Occasionally Severely Damaged by deer
1058	Viola sp.	Seldom Severely Damaged by deer
1059	Viola verecunda	Seldom Severely Damaged by deer
1060	Viola yezoensis	Seldom Severely Damaged by deer
1061	Wasabia japonica	Use a 5 year rotation to avoid Club Root and Root Maggots
1062	Weigela florida	Seldom Severely Damaged by deer
1063	Wisteria floribunda	Seldom Severely Damaged by deer
1064	Yucca aloifolia	Rarely Damaged by deer
1065	Yucca baccata	Rarely Damaged by deer
1066	Yucca constricta	Rarely Damaged by deer
1067	Yucca filifera	Rarely Damaged by deer
1068	Yucca filimentosa	Rarely Damaged by deer
1069	Yucca gloriosa	Rarely Damaged by deer
1070	Yucca recurvifolia	Rarely Damaged by deer
1071	Yucca schidigera	Rarely Damaged by deer
1072	Yucca whipplei	Rarely Damaged by deer
1073	Zannichellia palustris	Seldom Severely Damaged by deer
1074	Zantedeschia sp.	Use a 5 year rotation to avoid Club Root and Root Maggots. Avoid gall weevil by: cover beds in May when moon or sun are in Taurus. 
1075	Mahonia nervosa	Rarely Damaged by deer
1076	Mahonia x media	Rarely Damaged by deer
1077	Achnatherum lemmonii	Deer resistant
1078	Cornus stolonifera	Seldom Severely Damaged by deer
1079	Danthonia californica	Deer-resistant
1080	Leymus mollis	Deer-resistant
1081	Melica subulata	Deer-resistant
